239.8794694,34.39073056
241.8717778,33.58236667
241.8895778,33.58340278
241.8835056,33.56378056
239.3191833,34.46913611
239.3536111,34.45550833
239.2977111,34.49501389
239.832475,34.376675
239.7208167,34.35039167
241.8593139,33.59578611
240.7237417,34.11749722
240.5814361,34.18234167
240.3875306,34.33188611
240.3784639,34.33236944
240.3692333,34.332925
240.3967528,34.33134444
240.4396028,34.33325556
240.4119056,34.28661667
239.2705722,34.61041944
240.4585139,34.337675
240.4478833,34.33499167
240.5997833,34.12508056
240.5321722,34.17957222
