-120.1205306,34.39073056
-118.1282222,33.58236667
-118.1104222,33.58340278
-118.1164944,33.56378056
-120.6808167,34.46913611
-120.6463889,34.45550833
-120.7022889,34.49501389
-120.167525,34.376675
-120.2791833,34.35039167
-118.1406861,33.59578611
-119.2762583,34.11749722
-119.4185639,34.18234167
-119.6124694,34.33188611
-119.6215361,34.33236944
-119.6307667,34.332925
-119.6032472,34.33134444
-119.5603972,34.33325556
-119.5880944,34.28661667
-120.7294278,34.61041944
-119.5414861,34.337675
-119.5521167,34.33499167
-119.4002167,34.12508056
-119.4678278,34.17957222
